City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,East London,-33.0153,27.9116,75.2,78,0,2.3,ZA,2021-02-03 18:45:15
88,Port Hardy,50.6996,-127.4199,41.0,100,75,0.58,CA,2021-02-03 18:42:12
89,Sibolga,1.7427,98.7792,76.8,84,100,4.21,ID,2021-02-03 18:45:19
90,Jamestown,42.097,-79.2353,30.0,69,20,17.27,US,2021-02-03 18:45:15
91,Xiaoweizhai,26.1903,107.5125,52.52,91,100,2.44,CN,2021-02-03 18:45:19
92,Kandrian,-6.2167,149.55,78.73,83,100,16.02,PG,2021-02-03 18:45:19
93,Cabo San Lucas,22.8909,-109.9124,82.99,53,20,4.61,MX,2021-02-03 18:43:38
94,Tukrah,32.5341,20.5791,59.04,80,0,7.34,LY,2021-02-03 18:40:54
95,Wichita,37.6922,-97.3375,55.0,47,1,14.97,US,2021-02-03 18:41:47
96,Port Elizabeth,-33.918,25.5701,68.0,94,20,9.22,ZA,2021-02-03 18:45:18
97,Qaqortoq,60.7167,-46.0333,15.8,53,75,8.05,GL,2021-02-03 18:45:20
98,Tazovskiy,67.4667,78.7,-6.75,92,100,6.82,RU,2021-02-03 18:45:20
99,Baykit,61.67,96.37,-9.04,86,95,1.48,RU,2021-02-03 18:45:20
100,Phangnga,8.4509,98.5298,77.0,78,20,5.75,TH,2021-02-03 18:45:20
101,Pisco,-13.7,-76.2167,73.99,78,0,10.36,PE,2021-02-03 18:45:20
102,Padang,-0.9492,100.3543,75.2,94,40,2.3,ID,2021-02-03 18:43:17
103,Okhotsk,59.3833,143.3,-23.44,76,100,25.46,RU,2021-02-03 18:45:20
104,Linhares,-19.3911,-40.0722,84.81,61,5,9.31,BR,2021-02-03 18:45:20
105,Inta,66.0317,60.1659,7.97,95,100,11.92,RU,2021-02-03 18:45:21
106,Meulaboh,4.1363,96.1285,77.7,86,81,3.53,ID,2021-02-03 18:45:21
107,Lannion,48.75,-3.4167,46.4,81,0,4.61,FR,2021-02-03 18:45:21
108,Opuwo,-18.0607,13.84,77.16,36,99,6.85,NA,2021-02-03 18:45:21
109,Lompoc,34.6391,-120.4579,61.0,63,1,5.75,US,2021-02-03 18:45:21
110,Isangel,-19.55,169.2667,80.6,78,75,11.5,VU,2021-02-03 18:45:21
111,Luwuk,-0.9516,122.7875,78.35,73,100,3.8,ID,2021-02-03 18:45:21
112,Birao,10.2849,22.7882,84.6,17,0,3.69,CF,2021-02-03 18:45:21
113,Lebu,-37.6167,-73.65,65.19,66,0,13.51,CL,2021-02-03 18:45:22
114,Sangar,63.9242,127.4739,-39.59,77,100,7.74,RU,2021-02-03 18:45:22
115,Ancud,-41.8697,-73.8203,77.0,53,0,8.05,CL,2021-02-03 18:45:22
116,Olinda,-8.0089,-34.8553,82.4,61,40,10.36,BR,2021-02-03 18:45:22
117,Bar-Le-Duc,48.75,5.1667,50.0,81,90,21.85,FR,2021-02-03 18:45:22
118,Airai,-8.9266,125.4092,61.83,100,100,5.5,TL,2021-02-03 18:45:22
119,Helong,42.5397,128.9972,-1.71,81,3,9.91,CN,2021-02-03 18:45:22
