City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
237,Banyo,CM,6.75,11.8167,71.11,23,0,5.26,clear sky
238,Ontario,US,34.0633,-117.6509,71.01,39,1,0.47,clear sky
239,Maningrida,AU,-12.0667,134.2667,77.32,84,100,10.6,overcast clouds
240,San Felipe,VE,10.3399,-68.7425,82.36,55,68,8.41,broken clouds
241,Muroto,JP,33.2833,134.15,52.88,68,0,4.65,clear sky
242,Portales,US,34.1862,-103.3344,54.0,12,1,17.27,clear sky
243,Tahoua,NE,14.8888,5.2692,84.2,10,40,6.91,dust
244,Yellowknife,CA,62.456,-114.3525,-38.99,66,1,2.3,mist
245,Narodychi,UA,51.2029,29.0823,11.53,90,0,8.61,clear sky
246,Broome,US,42.2506,-75.833,32.0,37,40,18.41,scattered clouds
247,Klyuchi,RU,52.2667,79.1667,27.37,93,0,19.6,clear sky
248,Sorong,ID,-0.8833,131.25,80.35,80,100,1.25,overcast clouds
249,Sitka,US,57.0531,-135.33,35.6,80,75,9.22,light snow
250,Yima,CN,34.7381,111.8839,53.01,99,1,5.23,clear sky
251,Bathsheba,BB,13.2167,-59.5167,84.2,54,20,18.41,few clouds
252,Ugoofaaru,MV,5.6667,73.0,81.72,75,0,10.0,clear sky
253,Lixourion,GR,38.2019,20.4314,57.2,88,20,8.55,few clouds
254,Isangel,VU,-19.55,169.2667,78.04,79,0,2.01,clear sky
255,Pato Branco,BR,-26.2286,-52.6706,72.61,61,0,9.26,clear sky
256,Nicoya,CR,10.1483,-85.452,87.8,48,40,4.61,scattered clouds
257,Shenzhen,CN,22.5455,114.0683,68.0,86,0,2.3,clear sky
258,Camacha,PT,33.0833,-16.3333,59.0,63,40,19.57,scattered clouds
259,Hambantota,LK,6.1241,81.1185,73.4,100,20,4.61,few clouds
260,Kota Tinggi,MY,1.7381,103.8999,75.2,94,20,3.89,few clouds
261,Camrose,CA,53.0168,-112.8353,-13.0,66,100,3.0,overcast clouds
262,Port Lincoln,AU,-34.7333,135.8667,60.04,80,47,11.25,scattered clouds
263,Acapulco,MX,16.8634,-99.8901,84.2,65,20,8.05,few clouds
264,Inhumas,BR,-16.3578,-49.4961,78.8,78,75,8.05,light rain
265,Honiara,SB,-9.4333,159.95,77.14,86,100,4.32,light rain
266,Mayya,RU,61.7333,130.2811,-43.6,60,100,4.47,fog
267,Soyo,AO,-6.1349,12.3689,80.76,84,89,10.94,overcast clouds
268,Gondanglegi,ID,-7.7479,112.0132,73.44,91,85,3.91,overcast clouds
269,Merrill,US,45.1805,-89.6835,1.4,55,1,12.66,clear sky
270,Benjamin Constant,BR,-4.3831,-70.0311,86.0,74,75,4.61,broken clouds
271,San Lawrenz,MT,36.0553,14.204,62.01,88,0,6.91,clear sky
272,Kamina,CD,-8.7386,24.9906,66.99,95,100,4.32,overcast clouds
273,Alagoinhas,BR,-12.1356,-38.4192,87.1,55,100,11.48,overcast clouds
274,Henties Bay,NA,-22.116,14.2845,64.99,87,2,1.99,clear sky
275,Keti Bandar,PK,24.1447,67.4497,66.69,53,0,8.32,clear sky
276,Kennewick,US,46.2113,-119.1372,51.01,57,75,29.93,broken clouds
277,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.2,78,75,13.8,moderate rain
278,Hofn,IS,64.2539,-15.2082,34.81,86,98,17.13,snow
279,Atar,MR,20.5169,-13.0499,73.4,13,0,17.27,clear sky
280,Havelock,US,34.8791,-76.9013,50.0,57,75,6.91,broken clouds
281,Laguna,US,38.421,-121.4238,55.0,66,1,4.61,clear sky
282,Egvekinot,RU,66.3167,-179.1667,-8.3,77,11,8.48,few clouds
283,Aasiaat,GL,68.7098,-52.8699,13.44,85,12,16.58,few clouds
284,Keelung,TW,25.1283,121.7419,66.99,94,20,6.91,few clouds
285,Axim,GH,4.8699,-2.2405,80.6,85,0,10.07,clear sky
286,Ballina,AU,-28.8667,153.5667,69.8,94,90,4.5,overcast clouds
287,Arteaga,MX,18.4667,-102.4167,82.31,31,0,4.12,clear sky
288,Moranbah,AU,-22.0016,148.0466,75.9,81,100,10.18,overcast clouds
289,Frome,GB,51.2283,-2.3221,39.0,87,0,5.01,clear sky
290,Aklavik,CA,68.2191,-135.0107,-27.4,68,75,3.44,broken clouds
291,Floro,NO,61.5996,5.0328,24.8,63,0,6.91,clear sky
292,Novobirilyussy,RU,56.9514,90.6661,24.66,97,98,9.69,overcast clouds
293,Hihya,EG,30.6713,31.588,62.6,63,0,4.61,clear sky
294,Northam,GB,51.0333,-4.2167,39.99,94,100,1.99,overcast clouds
295,Cozumel,MX,20.5083,-86.9458,84.2,70,40,11.5,scattered clouds
296,Simao,CN,22.7886,100.9748,55.06,94,62,1.32,broken clouds
297,Znamenskoye,RU,57.1281,73.8282,33.98,92,100,13.51,overcast clouds
298,Coahuayana,MX,18.7333,-103.6833,75.2,64,1,6.44,clear sky
299,Tautira,PF,-17.7333,-149.15,75.2,83,75,10.36,light rain
300,Alofi,NU,-19.0595,-169.9187,75.2,100,100,4.61,overcast clouds
301,Denpasar,ID,-8.65,115.2167,78.8,94,20,2.3,few clouds
302,Otavi,NA,-19.65,17.3333,72.7,67,95,1.41,overcast clouds
303,Watsa,CD,3.0372,29.5355,70.65,33,0,1.79,clear sky
304,Marienburg,PL,54.0359,19.0266,16.0,100,6,4.59,clear sky
305,Fukue,JP,32.6881,128.8419,55.6,70,0,14.07,clear sky
306,Recea,RO,47.6333,23.5167,39.2,100,90,6.91,overcast clouds
307,Saint Anthony,US,45.0205,-93.218,1.4,50,20,18.41,few clouds
308,Topeka,US,39.0483,-95.678,25.0,74,90,13.8,light snow
309,Carauari,BR,-4.8828,-66.8958,90.64,55,59,2.21,broken clouds
310,Hasaki,JP,35.7333,140.8333,37.4,93,20,1.14,fog
311,Bandarbeyla,SO,9.4942,50.8122,76.48,80,0,13.71,clear sky
312,Wanaka,NZ,-44.7,169.15,57.0,78,4,3.22,clear sky
313,Jumla,NP,29.2747,82.1838,27.28,77,0,6.42,clear sky
314,Ossora,RU,59.2353,163.0719,16.75,95,100,25.72,light snow
315,Ancud,CL,-41.8697,-73.8203,77.0,44,0,11.5,clear sky
316,Zhigansk,RU,66.7697,123.3711,-41.44,80,88,10.98,overcast clouds
317,Kavaratti,IN,10.5669,72.642,81.0,65,0,10.0,clear sky
318,Lavrentiya,RU,65.5833,-171.0,-5.8,79,0,3.15,clear sky
319,Homer,US,59.6425,-151.5483,33.8,86,1,4.61,clear sky
320,Sandusky,US,41.3501,-83.1332,18.0,65,0,8.01,clear sky
321,Bowen,AU,-20.0167,148.2333,75.2,94,40,5.21,scattered clouds
322,Jasper,US,37.2001,-94.3502,46.0,60,90,6.91,overcast clouds
323,Port Hardy,CA,50.6996,-127.4199,42.8,93,90,14.97,light rain
324,Oktyabrskiy,RU,54.4815,53.471,-1.37,89,100,12.93,overcast clouds
325,Olafsvik,IS,64.8945,-23.7142,36.09,78,71,15.82,light rain
326,Accrington,GB,53.7538,-2.3586,35.01,90,100,7.0,snow
327,Arlit,NE,18.7369,7.3853,69.1,20,5,3.53,clear sky
328,Constitucion,CL,-35.3333,-72.4167,65.7,69,31,5.97,scattered clouds
329,Necochea,AR,-38.5473,-58.7368,70.0,65,0,8.01,clear sky
330,Slave Lake,CA,55.2834,-114.769,-22.0,69,1,9.22,clear sky
331,Severo-Kurilsk,RU,50.6789,156.125,20.66,94,100,15.37,light snow
332,Scarborough,GB,54.2797,-0.4044,37.0,89,100,11.99,overcast clouds
333,Anadyr,RU,64.75,177.4833,-9.0,77,0,8.95,clear sky
334,Caraballeda,VE,10.6112,-66.8522,87.8,66,20,13.53,few clouds
335,Stornoway,GB,58.2093,-6.3865,37.4,75,75,20.71,broken clouds
336,Borovsk,RU,55.2064,36.4861,1.4,71,75,11.18,broken clouds
337,Rakke,EE,58.9817,26.2544,7.05,95,84,4.5,broken clouds
338,Guangyuan,CN,32.442,105.823,48.42,56,92,3.49,overcast clouds
339,Batamshinskiy,KZ,50.5594,58.2747,10.4,79,75,35.79,snow
340,Imeni Poliny Osipenko,RU,52.4201,136.4853,-6.57,90,98,6.49,overcast clouds
341,Meulaboh,ID,4.1363,96.1285,77.36,87,82,3.24,broken clouds
342,Yekimovichi,RU,54.1129,33.2965,0.79,93,100,8.1,overcast clouds
343,Bindura,ZW,-17.3019,31.3306,69.01,79,100,3.0,overcast clouds
344,Waingapu,ID,-9.6567,120.2641,77.88,80,100,5.93,overcast clouds
345,Grindavik,IS,63.8424,-22.4338,35.6,64,40,13.8,scattered clouds
346,Pacific Grove,US,36.6177,-121.9166,62.01,58,1,8.34,clear sky
347,Talnakh,RU,69.4865,88.3972,-29.09,75,0,3.33,clear sky
348,Codrington,AU,-38.2667,141.9667,58.23,79,100,13.89,overcast clouds
349,Saldanha,ZA,-33.0117,17.9442,69.8,78,78,16.11,broken clouds
