City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
344,Waingapu,ID,77.88,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
351,Srandakan,ID,76.93,overcast clouds,-7.9386,110.2506,Puri Brata
353,Bubaque,GW,80.8,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
354,Paracuaro,MX,75.2,clear sky,20.15,-100.7667,Salón Terrazas
359,Biak,ID,76.68,overcast clouds,-0.9131,122.8766,Penginapan Kim
363,Bissau,GW,87.8,clear sky,11.8636,-15.5977,Pensão Creola
366,Ixtapa,MX,78.8,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
368,Puerto Maldonado,PE,87.8,broken clouds,-12.6,-69.1833,Wasai Hotel
369,Djougou,BJ,89.6,clear sky,9.7085,1.666,Hotel cathas
370,Samarai,PG,82.31,overcast clouds,-10.6167,150.6667,Nuli Sapi
376,Arraial Do Cabo,BR,75.2,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
384,Aquiraz,BR,87.8,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
386,Jaciara,BR,87.64,overcast clouds,-15.9653,-54.9683,Taba Hotel
387,Marsh Harbour,BS,77.32,clear sky,26.5412,-77.0636,Abaco Beach Resort
389,Namatanai,PG,79.02,broken clouds,-3.6667,152.4333,Namatanai Hotel
395,Kulhudhuffushi,MV,81.5,clear sky,6.6221,73.07,Haajy Guest House 1
400,Teahupoo,PF,75.2,moderate rain,-17.8333,-149.2667,Vanira Lodge
405,Morant Bay,JM,86.0,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
406,Cordoba,AR,89.01,few clouds,-31.4135,-64.1811,Sheraton Cordoba Hotel
411,Quatre Cocos,MU,80.01,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
412,Alyangula,AU,78.8,light rain,-13.8483,136.4192,Groote Eylandt Lodge
420,Maturin,VE,86.83,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
421,Cap Malheureux,MU,80.01,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
425,Jayuya,PR,87.01,broken clouds,18.2186,-66.5916,Hacienda Gripinas
430,Gigmoto,PH,78.51,broken clouds,13.7796,124.39,Cj's Travellers Inn
436,Acari,PE,80.62,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
442,Port Blair,IN,78.58,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
443,Trairi,BR,85.1,overcast clouds,-3.2778,-39.2689,janelas do mar
444,Salalah,OM,75.2,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
445,Pimentel,PE,78.8,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
448,Mackay,AU,77.0,overcast clouds,-21.15,149.2,International Lodge Motel
460,Farafangana,MG,80.08,light rain,-22.8167,47.8333,Miarina
465,Tupancireta,BR,76.06,clear sky,-29.0806,-53.8358,Hotel Cassino
475,Domoni,KM,81.57,overcast clouds,-12.2569,44.5319,Al Djadid
486,Bima,ID,76.77,overcast clouds,-8.4667,118.7167,Lambitu Hotel
488,Pedernales,DO,86.43,clear sky,18.0384,-71.744,Hotel Costa Marina
489,Muisne,EC,84.2,light rain,0.6,-80.0333,Quinta Samay
491,Carutapera,BR,87.53,clear sky,-1.195,-46.02,Lidera
494,Linguere,SN,77.0,clear sky,15.3953,-15.1193,Hôtel Amadou Seck
496,Palmerston,AU,82.4,broken clouds,-12.485999999999999,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
497,Matara,LK,75.83,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
498,Cayenne,GF,78.8,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
509,Odienne,CI,89.33,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
510,Vila Velha,BR,86.0,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
511,Huarmey,PE,75.85,few clouds,-10.0681,-78.1522,Hotel Miramar
515,Bambanglipuro,ID,76.8,overcast clouds,-7.95,110.2833,Puri Brata
518,Road Town,VG,80.01,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
521,Lima,PE,78.8,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
526,Labuhan,ID,77.83,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
528,Tuburan,PH,75.2,broken clouds,6.6439,122.2736,GT Site
533,Saint-Joseph,RE,80.6,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
534,Saint-Georges,GD,84.2,few clouds,12.0564,-61.7485,Siesta Hotel
535,Rocha,UY,82.69,clear sky,-34.4833,-54.3333,Beleza Pura B&B
